Date,Close
1597060800000,0.55069
1597064400000,0.52083
1597068000000,0.51743
1597071600000,0.48396
1597075200000,0.50499
1597078800000,0.51086
1597082400000,0.50999
1597086000000,0.49646
1597089600000,0.5
1597093200000,0.55986
1597096800000,0.53501
1597100400000,0.52381
1597104000000,0.5369
1597107600000,0.52794
1597111200000,0.54183
1597114800000,0.53479
1597118400000,0.52419
1597122000000,0.50454
1597125600000,0.51096
1597129200000,0.49829
1597132800000,0.50755
1597136400000,0.4963
1597140000000,0.50181
1597143600000,0.53028
1597147200000,0.51987
1597150800000,0.50799
1597154400000,0.50408
1597158000000,0.50117
1597161600000,0.51935
1597165200000,0.53589
1597168800000,0.52924
1597172400000,0.5378
1597176000000,0.51808
1597179600000,0.51397
1597183200000,0.52385
1597186800000,0.53217
1597190400000,0.51809
1597194000000,0.50117
1597197600000,0.48512
1597201200000,0.47868
1597204800000,0.51072
1597208400000,0.50398
1597212000000,0.49242
1597215600000,0.49715
1597219200000,0.4959
1597222800000,0.51776
1597226400000,0.50408
1597230000000,0.49837
1597233600000,0.48276
1597237200000,0.49269
1597240800000,0.50206
1597244400000,0.49796
1597248000000,0.49109
1597251600000,0.49302
1597255200000,0.48978
1597258800000,0.48281
1597262400000,0.519
1597266000000,0.51633
1597269600000,0.51225
1597273200000,0.49699
1597276800000,0.47017
1597280400000,0.4836
1597284000000,0.47862
1597287600000,0.4857
1597291200000,0.47142
1597294800000,0.47464
1597298400000,0.47158
1597302000000,0.4631
1597305600000,0.42981
1597309200000,0.438
1597312800000,0.45917
1597316400000,0.46538
1597320000000,0.45328
1597323600000,0.44203
1597327200000,0.43163
1597330800000,0.42497
1597334400000,0.43722
1597338000000,0.43438
1597341600000,0.44411
1597345200000,0.45725
1597348800000,0.45474
1597352400000,0.45872
1597356000000,0.44143
1597359600000,0.45326
1597363200000,0.43684
1597366800000,0.43265
1597370400000,0.41944
1597374000000,0.41106
1597377600000,0.42309
1597381200000,0.41694
1597384800000,0.41899
1597388400000,0.4205
1597392000000,0.43378
1597395600000,0.43061
1597399200000,0.43922
1597402800000,0.43128
1597406400000,0.4197
1597410000000,0.43055
1597413600000,0.42857
1597417200000,0.4214
1597420800000,0.42226
1597424400000,0.42108
1597428000000,0.42385
1597431600000,0.42653
1597435200000,0.42792
1597438800000,0.42704
1597442400000,0.43203
1597446000000,0.42627
1597449600000,0.41916
1597453200000,0.41874
1597456800000,0.42025
1597460400000,0.416
1597464000000,0.4204
1597467600000,0.41389
1597471200000,0.39416
1597474800000,0.3935
1597478400000,0.38025
1597482000000,0.38069
1597485600000,0.35382
1597489200000,0.36007
1597492800000,0.36718
1597496400000,0.37627
1597500000000,0.3926
1597503600000,0.39466
1597507200000,0.377
1597510800000,0.3745
1597514400000,0.37313
1597518000000,0.38399
1597521600000,0.39213
1597525200000,0.39247
1597528800000,0.41488
1597532400000,0.4551
1597536000000,0.49605
1597539600000,0.47397
1597543200000,0.481
1597546800000,0.49599
1597550400000,0.50104
1597554000000,0.49092
1597557600000,0.50337
1597561200000,0.53995
1597564800000,0.52416
1597568400000,0.5124
1597572000000,0.529
1597575600000,0.506
1597579200000,0.50358
1597582800000,0.5225
1597586400000,0.51224
1597590000000,0.53461
1597593600000,0.54343
1597597200000,0.54999
1597600800000,0.51386
1597604400000,0.50769
1597608000000,0.52977
1597611600000,0.5325
1597615200000,0.54908
1597618800000,0.56061
1597622400000,0.55055
1597626000000,0.58153
1597629600000,0.57378
1597633200000,0.6102
1597636800000,0.616
1597640400000,0.60262
1597644000000,0.58052
1597647600000,0.57797
1597651200000,0.5742
1597654800000,0.59018
1597658400000,0.5911
1597662000000,0.59546
1597665600000,0.60998
1597669200000,0.6068
1597672800000,0.64836
1597676400000,0.6304
1597680000000,0.63497
1597683600000,0.63999
1597687200000,0.66391
1597690800000,0.68152
1597694400000,0.67515
1597698000000,0.69766
1597701600000,0.711
1597705200000,0.725
1597708800000,0.73378
1597712400000,0.70816
1597716000000,0.71843
1597719600000,0.74665
1597723200000,0.72942
1597726800000,0.7226
1597730400000,0.73874
1597734000000,0.798
1597737600000,0.83466
1597741200000,0.82544
1597744800000,0.8701
1597748400000,0.905
1597752000000,0.87312
1597755600000,0.82035
1597759200000,0.847
1597762800000,0.82894
1597766400000,0.80374
1597770000000,0.847
1597773600000,0.83202
1597777200000,0.82096
1597780800000,0.83566
1597784400000,0.847
1597788000000,0.84276
1597791600000,0.80849
1597795200000,0.87253
1597798800000,0.86386
1597802400000,0.914
1597806000000,0.90632
1597809600000,0.89107
1597813200000,0.96512
1597816800000,0.92538
1597820400000,0.93075
1597824000000,0.92855
1597827600000,0.92364
1597831200000,0.88404
1597834800000,0.86437
1597838400000,0.84494
1597842000000,0.86671
1597845600000,0.87935
1597849200000,0.91726
1597852800000,0.90391
1597856400000,0.87369
1597860000000,0.894
1597863600000,0.88751
1597867200000,0.91024
1597870800000,0.90451
1597874400000,0.96678
1597878000000,1.06987
1597881600000,1.06101
1597885200000,1.03819
1597888800000,1.12964
1597892400000,1.10019
1597896000000,1.09994
1597899600000,0.99603
1597903200000,1.064
1597906800000,1.099
1597910400000,1.11413
1597914000000,1.09453
1597917600000,1.08359
1597921200000,1.143
1597924800000,1.21673
1597928400000,1.265
